Date,"Page Followers"
"August 1, 2026",
"July 31, 2026",6
"July 30, 2026",6
"July 29, 2026",6
"July 28, 2026",6
"July 27, 2026",5
"July 26, 2026",5
"July 25, 2026",5
"July 24, 2026",5
"July 23, 2026",5
"July 22, 2026",5
"July 21, 2026",5
"July 20, 2026",5
"July 19, 2026",5
"July 18, 2026",4
"July 17, 2026",4
"July 16, 2026",4
"July 15, 2026",4
"July 14, 2026",4
"July 13, 2026",4
"July 12, 2026",4
"July 11, 2026",4
"July 10, 2026",4
"July 9, 2026",4
"July 8, 2026",4
"July 7, 2026",4
"July 6, 2026",3
"July 5, 2026",3
"July 4, 2026",3
"July 3, 2026",3
"July 2, 2026",3
"July 1, 2026",3
"June 30, 2026",3
"June 29, 2026",3
"June 28, 2026",3
"June 27, 2026",3
"June 26, 2026",3
"June 25, 2026",3
"June 24, 2026",3
"June 23, 2026",3
"June 22, 2026",3
"June 21, 2026",3
"June 20, 2026",3
"June 19, 2026",3
"June 18, 2026",3
"June 17, 2026",3
"June 16, 2026",3
"June 15, 2026",3
"June 14, 2026",3
"June 13, 2026",3
"June 12, 2026",3
"June 11, 2026",3
"June 10, 2026",3
"June 9, 2026",3
"June 8, 2026",3
"June 7, 2026",3
"June 6, 2026",3
"June 5, 2026",3
"June 4, 2026",2
"June 3, 2026",1
"June 2, 2026",1
"June 1, 2026",1
"May 31, 2026",1
"May 30, 2026",1
"May 29, 2026",1
"May 28, 2026",1
"May 27, 2026",1
"May 26, 2026",1
"May 25, 2026",1
"May 24, 2026",1
"May 23, 2026",1
"May 22, 2026",1
"May 21, 2026",
"May 20, 2026",
"May 19, 2026",
"May 18, 2026",
"May 17, 2026",
"May 16, 2026",
"May 15, 2026",
"May 14, 2026",
"May 13, 2026",
"May 12, 2026",
"May 11, 2026",
"May 10, 2026",
"May 9, 2026",
"May 8, 2026",
"May 7, 2026",
"May 6, 2026",
"May 5, 2026",
"May 4, 2026",
"May 3, 2026",
"May 2, 2026",
"May 1, 2026",
