Date,"Page Followers"
"August 1, 2026",13
"July 31, 2026",13
"July 30, 2026",13
"July 29, 2026",13
"July 28, 2026",13
"July 27, 2026",12
"July 26, 2026",12
"July 25, 2026",12
"July 24, 2026",12
"July 23, 2026",12
"July 22, 2026",12
"July 21, 2026",12
"July 20, 2026",12
"July 19, 2026",12
"July 18, 2026",11
"July 17, 2026",11
"July 16, 2026",10
"July 15, 2026",10
"July 14, 2026",10
"July 13, 2026",10
"July 12, 2026",10
"July 11, 2026",10
"July 10, 2026",10
"July 9, 2026",10
"July 8, 2026",10
"July 7, 2026",10
"July 6, 2026",10
"July 5, 2026",10
"July 4, 2026",10
"July 3, 2026",10
"July 2, 2026",10
"July 1, 2026",10
"June 30, 2026",10
"June 29, 2026",10
"June 28, 2026",10
"June 27, 2026",10
"June 26, 2026",9
"June 25, 2026",9
"June 24, 2026",9
"June 23, 2026",9
"June 22, 2026",9
"June 21, 2026",9
"June 20, 2026",9
"June 19, 2026",9
"June 18, 2026",9
"June 17, 2026",7
"June 16, 2026",7
"June 15, 2026",7
"June 14, 2026",7
"June 13, 2026",7
"June 12, 2026",7
"June 11, 2026",6
"June 10, 2026",5
"June 9, 2026",5
"June 8, 2026",5
"June 7, 2026",5
"June 6, 2026",5
"June 5, 2026",5
"June 4, 2026",4
"June 3, 2026",4
"June 2, 2026",3
"June 1, 2026",3
"May 31, 2026",3
"May 30, 2026",2
"May 29, 2026",2
"May 28, 2026",2
"May 27, 2026",2
"May 26, 2026",2
"May 25, 2026",2
"May 24, 2026",2
"May 23, 2026",2
"May 22, 2026",2
"May 21, 2026",2
"May 20, 2026",2
"May 19, 2026",2
"May 18, 2026",2
"May 17, 2026",2
"May 16, 2026",2
"May 15, 2026",2
"May 14, 2026",2
"May 13, 2026",2
"May 12, 2026",2
"May 11, 2026",2
"May 10, 2026",2
"May 9, 2026",2
"May 8, 2026",1
"May 7, 2026",1
"May 6, 2026",2
"May 5, 2026",1
"May 4, 2026",1
"May 3, 2026",1
"May 2, 2026",1
"May 1, 2026",
