Date,"Views","Reach","Reposts","Followers"
"August 2, 2026",99,4,0,2356
"July 26, 2026",2448,34,0,2350
"July 19, 2026",3830,53,0,2346
"July 12, 2026",2507,42,3,2344
"July 5, 2026",2877,172,2,2338
"June 28, 2026",6911,268,2,2328
"June 21, 2026",5182,117,4,2319
"June 14, 2026",17011,1423,4,2293
"June 7, 2026",8786,429,2,2259
"May 31, 2026",9540,133,4,2204
"May 24, 2026",17,1,0,2170
"May 17, 2026",,,,
"May 10, 2026",,,,
"May 3, 2026",,,,
"April 26, 2026",,,,
"April 19, 2026",,,,
"April 12, 2026",,,,
"April 5, 2026",,,,
"March 29, 2026",,,,
"March 22, 2026",,,,
"March 15, 2026",,,,
"March 8, 2026",,,,
"March 1, 2026",,,,
"February 22, 2026",,,,
"February 15, 2026",,,,
"February 8, 2026",,,,
"February 1, 2026",,,,
"January 25, 2026",,,,
"January 18, 2026",,,,
"January 11, 2026",,,,
"January 4, 2026",,,,
"December 28, 2025",,,,
"December 21, 2025",,,,
"December 14, 2025",,,,
"December 7, 2025",,,,
"November 30, 2025",,,,
"November 23, 2025",,,,
"November 16, 2025",,,,
"November 9, 2025",,,,
"November 2, 2025",,,,
"October 26, 2025",,,,
"October 19, 2025",,,,
"October 12, 2025",,,,
"October 5, 2025",,,,
"September 28, 2025",,,,
"September 21, 2025",,,,
"September 14, 2025",,,,
"September 7, 2025",,,,
"August 31, 2025",,,,
"August 24, 2025",,,,
"August 17, 2025",,,,
"August 10, 2025",,,,
"August 3, 2025",,,,
