Date,"Views","Reach","Reposts","Followers"
"August 2, 2026",105,20,0,1516
"July 26, 2026",2075,68,6,1515
"July 19, 2026",2190,117,0,1508
"July 12, 2026",2939,233,3,1499
"July 5, 2026",1803,84,4,1496
"June 28, 2026",6501,511,5,1451
"June 21, 2026",7529,671,12,1270
"June 14, 2026",23945,2268,6,987
"June 7, 2026",20484,1551,10,429
"May 31, 2026",8447,1494,2,269
"May 24, 2026",,,,
"May 17, 2026",,,,
"May 10, 2026",,,,
"May 3, 2026",,,,
"April 26, 2026",,,,
"April 19, 2026",,,,
"April 12, 2026",,,,
"April 5, 2026",,,,
"March 29, 2026",,,,
"March 22, 2026",,,,
"March 15, 2026",,,,
"March 8, 2026",,,,
"March 1, 2026",,,,
"February 22, 2026",,,,
"February 15, 2026",,,,
"February 8, 2026",,,,
"February 1, 2026",,,,
"January 25, 2026",,,,
"January 18, 2026",,,,
"January 11, 2026",,,,
"January 4, 2026",,,,
"December 28, 2025",,,,
"December 21, 2025",,,,
"December 14, 2025",,,,
"December 7, 2025",,,,
"November 30, 2025",,,,
"November 23, 2025",,,,
"November 16, 2025",,,,
"November 9, 2025",,,,
"November 2, 2025",,,,
"October 26, 2025",,,,
"October 19, 2025",,,,
"October 12, 2025",,,,
"October 5, 2025",,,,
"September 28, 2025",,,,
"September 21, 2025",,,,
"September 14, 2025",,,,
"September 7, 2025",,,,
"August 31, 2025",,,,
"August 24, 2025",,,,
"August 17, 2025",,,,
"August 10, 2025",,,,
"August 3, 2025",,,,
